date,na,open,high,low,close,volume
2016.02.08,0:00,1.06658,1.07165,1.06616,1.06874,113438
2016.02.09,0:00,1.06825,1.07118,1.05875,1.06494,153971
2016.02.10,0:00,1.06489,1.06857,1.06056,1.06075,158823
2016.02.11,0:00,1.06053,1.06612,1.05692,1.05782,189807
2016.02.12,0:00,1.05724,1.07333,1.05625,1.07005,137193
2016.02.15,0:00,1.07153,1.07637,1.07075,1.07296,115704
2016.02.16,0:00,1.07312,1.08716,1.07236,1.07998,139415
2016.02.17,0:00,1.08018,1.08329,1.07747,1.08233,128330
2016.02.18,0:00,1.08218,1.08257,1.07408,1.07651,122090
2016.02.19,0:00,1.07706,1.07794,1.07218,1.07708,101647
2016.02.22,0:00,1.07516,1.07965,1.07371,1.07815,85131
2016.02.23,0:00,1.07812,1.08447,1.07687,1.08355,97879
2016.02.24,0:00,1.0836,1.08724,1.07944,1.07969,116409
2016.02.25,0:00,1.07981,1.08056,1.07499,1.07575,105810
2016.02.26,0:00,1.07515,1.07644,1.06696,1.07445,103754
2016.02.29,0:00,1.07957,1.0856,1.0785,1.08304,116681
2016.03.01,0:00,1.08306,1.08504,1.07527,1.08149,117772
2016.03.02,0:00,1.08173,1.09726,1.079,1.09224,122065
2016.03.03,0:00,1.09257,1.09591,1.09005,1.09277,109498
2016.03.04,0:00,1.09274,1.09521,1.08918,1.09029,121180
2016.03.07,0:00,1.08877,1.10259,1.08859,1.09726,98337
2016.03.08,0:00,1.09778,1.10366,1.0955,1.10234,107190
2016.03.09,0:00,1.10261,1.12635,1.09924,1.12449,140273
2016.03.10,0:00,1.12472,1.12829,1.11478,1.11718,186506
2016.03.11,0:00,1.11813,1.12427,1.11424,1.11959,135393
2016.03.14,0:00,1.12125,1.12672,1.11904,1.12508,114711
2016.03.15,0:00,1.12491,1.13142,1.12109,1.12915,126695
2016.03.16,0:00,1.12857,1.13167,1.12053,1.12224,143641
2016.03.17,0:00,1.12295,1.12585,1.1146,1.11575,171042
2016.03.18,0:00,1.11495,1.12202,1.1143,1.11653,112590
2016.03.21,0:00,1.11785,1.12411,1.11732,1.11987,104509
2016.03.22,0:00,1.11864,1.12966,1.11801,1.12764,125413
2016.03.23,0:00,1.12766,1.1332,1.12125,1.12233,119644
2016.03.24,0:00,1.12208,1.12388,1.11837,1.12238,95007
2016.03.25,0:00,1.12198,1.12456,1.11938,1.12105,71797
2016.03.28,0:00,1.12299,1.12506,1.11994,1.12154,54634
2016.03.29,0:00,1.12057,1.12181,1.11018,1.11263,117382
2016.03.30,0:00,1.11268,1.11432,1.10394,1.1074,141324
2016.03.31,0:00,1.10767,1.11057,1.10632,1.10761,117379
2016.04.01,0:00,1.10797,1.11405,1.1069,1.10992,120272
2016.04.04,0:00,1.11258,1.11365,1.10762,1.11206,97476
2016.04.05,0:00,1.11213,1.12003,1.10685,1.10831,135198
2016.04.06,0:00,1.10765,1.11387,1.10672,1.11273,111143
2016.04.07,0:00,1.11214,1.1163,1.10657,1.10705,131212
2016.04.08,0:00,1.10692,1.11294,1.10651,1.10746,98013
2016.04.11,0:00,1.10687,1.11039,1.10505,1.10704,98364
2016.04.12,0:00,1.10697,1.11235,1.10512,1.10924,109542
2016.04.13,0:00,1.1092,1.11026,1.10335,1.10512,107686
2016.04.14,0:00,1.10584,1.12379,1.10532,1.12301,118351
2016.04.15,0:00,1.12274,1.12329,1.11244,1.114,99325
2016.04.18,0:00,1.10936,1.11733,1.10608,1.11447,119440
2016.04.19,0:00,1.11366,1.11474,1.10714,1.1085,107106
2016.04.20,0:00,1.10881,1.11883,1.10741,1.11637,100967
2016.04.21,0:00,1.11648,1.12339,1.11564,1.11883,118959
2016.04.22,0:00,1.11861,1.12648,1.11861,1.12373,109083
2016.04.25,0:00,1.122,1.12697,1.12066,1.12479,75434
2016.04.26,0:00,1.12461,1.12487,1.1198,1.12251,91043
2016.04.27,0:00,1.1218,1.12504,1.10562,1.10801,132987
2016.04.28,0:00,1.10903,1.11005,1.09233,1.09477,126523
2016.04.29,0:00,1.09436,1.09929,1.08773,1.08925,92694
2016.05.02,0:00,1.0882,1.09254,1.08429,1.09126,78253
2016.05.03,0:00,1.09101,1.09427,1.07845,1.08213,127777
2016.05.04,0:00,1.08183,1.08899,1.08019,1.08266,125265
2016.05.05,0:00,1.08274,1.08736,1.08213,1.08396,92062
2016.05.06,0:00,1.08274,1.08568,1.07349,1.07638,107854
2016.05.09,0:00,1.07521,1.08202,1.07494,1.08041,90762
2016.05.10,0:00,1.08041,1.09195,1.07868,1.08756,101535
2016.05.11,0:00,1.08754,1.08872,1.07966,1.08071,101365
2016.05.12,0:00,1.0807,1.08174,1.07241,1.07347,96794
2016.05.13,0:00,1.07305,1.07439,1.06882,1.07196,101888
2016.05.16,0:00,1.07019,1.07819,1.06955,1.07299,69539
2016.05.17,0:00,1.0728,1.08056,1.07269,1.07484,88983
2016.05.18,0:00,1.07479,1.07698,1.07137,1.07199,101531
2016.05.19,0:00,1.07199,1.07315,1.06511,1.0713,111403
2016.05.20,0:00,1.07123,1.07214,1.0659,1.06664,77043
2016.05.23,0:00,1.06525,1.06838,1.06192,1.06764,85568
2016.05.24,0:00,1.06758,1.07329,1.06307,1.06577,98453
2016.05.25,0:00,1.06592,1.06921,1.06247,1.06752,90219
2016.05.26,0:00,1.06782,1.07464,1.06478,1.07148,96751
2016.05.27,0:00,1.07125,1.07342,1.06937,1.07254,85367
2016.05.30,0:00,1.07197,1.07366,1.07,1.07243,56883
2016.05.31,0:00,1.07271,1.07752,1.06742,1.06852,93159
2016.06.01,0:00,1.06765,1.07381,1.06243,1.06394,110051
2016.06.02,0:00,1.06365,1.06458,1.05863,1.06095,95484
2016.06.03,0:00,1.06093,1.06228,1.05245,1.05812,105731
2016.06.06,0:00,1.05757,1.06427,1.05624,1.06362,91020
2016.06.07,0:00,1.06308,1.0738,1.06244,1.0684,86875
2016.06.08,0:00,1.06805,1.07129,1.06219,1.06287,82183
